"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-153487798","Guyana","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Guyana","Americas"
"rayyan-153487798","Jamaica","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Jamaica","Americas"
"rayyan-153487798","Montserrat","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Montserrat","Americas"
"rayyan-153487798","Nicaragua","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Nicaragua","Americas"
"rayyan-153487798","Panama","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Panama","Americas"
"rayyan-153487798","Saint Kitts and Nevis","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Saint Kitts and Nevis","Americas"
"rayyan-153487798","Saint Lucia","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Saint Lucia","Americas"
"rayyan-153487798","Saint Vincent and the Grenadines","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Saint Vincent and the Grenadines","Americas"
"rayyan-153487798","Suriname","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Suriname","Americas"
"rayyan-153487798","Trinidad and Tobago","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","Trinidad and Tobago","Americas"
"rayyan-153487798","USA","Marine","Not mentioned","Not reported","Researchers, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Time lag, Relevance, Rigour, Uncertainty, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-country","National","Government/statutory body","Marine resources governance","United States","Americas"
"rayyan-153488456","Australia","Desert, Forest","Not mentioned","Not reported","Practitioners","Research data","Workshops","Stakeholder perceptions","Existence of evidence, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-country","Regional","Government/statutory body, NGO/non-profit","","Australia","Oceania"
"rayyan-153488456","New Zealand","Desert, Forest","Not mentioned","Not reported","Practitioners","Research data","Workshops","Stakeholder perceptions","Existence of evidence, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-country","Regional","Government/statutory body, NGO/non-profit","","New Zealand","Oceania"
"rayyan-153488831","Indonesia","Mangrove","Not mentioned","Land use change","Researchers, Practitioners, Policymakers","No description provided","Surveys, Documentary analysis","Mixed data","Relevance, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use","Natural sciences","Multi-unit","National","Government/statutory body, Academic institution","","Indonesia","Asia"
"rayyan-153489149","USA","Not mentioned","Not mentioned","Not reported","Grant funders","Conservation science in general","Surveys","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Researcher skills and awareness, Culture of practitioner/policymakers, Practitioner/policymaker awareness of evidence, Capacity and resources","Both natural and social sciences","Multi-unit","Not reported","NGO/non-profit","Conservation grant funding","United States","Americas"
"rayyan-153489501","UK","Not mentioned","Not mentioned","Not reported","Practitioners","Paleoecological knowledge","Surveys","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Relevance, Scientist-actor relationships, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-unit","Not reported","Government/statutory body, NGO/non-profit, Private sector","Not mentioned","United Kingdom","Europe"
"rayyan-153489779","Australia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Knowledge of evolution","Surveys","Stakeholder perceptions","Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics","Natural sciences","Multi-region","Regional","Government/statutory body, Academic institution","Protected area and catchment managment","Australia","Oceania"
